0,1,2,3,4,5,6,7,8,9,10,11,12
"September 03, 1915",1520,"Off Cuxhaven, Germany",Military - German Navy,?,?,Zeppelin L-10 (airship),?,?,19   (passengers:?  crew:?),19   (passengers:?  crew:?),0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 28, 1916",?,"Near Jambol, Bulgeria",Military - German Army,?,?,Schutte-Lanz S-L-10 (airship),?,?,20   (passengers:?  crew:?),20   (passengers:?  crew:?),0,"Crashed near the Black Sea, cause unknown."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"September 24, 1916",0100,"Billericay, England",Military - German Navy,?,?,Zeppelin L-32 (airship),?,?,22   (passengers:?  crew:?),22   (passengers:?  crew:?),0,Shot down by British aircraft crashing in flames.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 01, 1916",2345,"Potters Bar, England",Military - German Navy,?,?,Zeppelin L-31 (airship),?,?,19   (passengers:0  crew:19),19   (passengers:0  crew:19),0,Shot down in flames by the British 39th Home Defence Squadron.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 21, 1916",?,"Mainz, Germany",Military - German Army,?,?,Super Zeppelin (airship),?,?,28   (passengers:?  crew:?),27   (passengers:?  crew:?),0,Crashed in a storm.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 28, 1916",2345,"Off West Hartlepool, England",Military - German Navy,?,?,Zeppelin L-34 (airship),?,?,20   (passengers:?  crew:?),20   (passengers:?  crew:?),0,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 04, 1917",?,"Near Gent, Belgium",Military - German Army,?,?,Airship,?,?,20   (passengers:?  crew:?),20   (passengers:?  crew:?),0,Caught fire and crashed.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 30, 1917",?,Off Northern Germany,Military - German Navy,?,?,Schutte-Lanz S-L-9 (airship),?,?,23   (passengers:?  crew:?),23   (passengers:?  crew:?),0,Struck by lightning and crashed into the Baltic Sea.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 14, 1917",0515,"Near Texel Island, North Sea",Military - German Navy,?,?,Zeppelin L-22 (airship),?,?,21   (passengers:?  crew:?),21   (passengers:?  crew:?),0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"June 14, 1917",0845,"Off Vlieland Island, North Sea",Military - German Navy,?,?,Zeppelin L-43 (airship),?,?,24   (passengers:?  crew:?),24   (passengers:?  crew:?),0,Shot down by British aircraft.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"June 17, 1917",?,"Near Yarmouth, England",?,?,?,Zepplin L-48 (air ship),L-48,?,16   (passengers:?  crew:?),14   (passengers:?  crew:?),0,Shot down by aircraft.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 21, 1917",0700,Off western Denmark,Military - German Navy,?,?,Zeppelin L-23 (airship),?,?,18   (passengers:?  crew:?),18   (passengers:?  crew:?),0,Shot down by British aircraft.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 20, 1917",0745,"Near Luneville, France",Military - German Navy,?,?,Zeppelin L-44 (airship),?,?,18   (passengers:?  crew:?),18   (passengers:?  crew:?),0,Shot down by French anti-aircraft fire.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 07, 1918",2130,Over the Mediterranean,Military - German Navy,?,?,Zeppelin L-59 (airship),?,?,23   (passengers:?  crew:?),23   (passengers:?  crew:?),0,Exploded and crashed into the sea off the southern coast of Italy.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 05, 1918",?,"Off Helgoland Island, Germany",Military - German Navy,?,?,Zeppelin L-70 (airship),?,?,22   (passengers:?  crew:?),22   (passengers:?  crew:?),0,"Shot down by British aircraft crashing from a height of 17,000 ft."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 11, 1918",1000,"Ameland Island, North Sea",Military - German Navy,?,?,Zeppelin L-53 (airship),?,?,19   (passengers:?  crew:?),19   (passengers:?  crew:?),0,Shot down by british aircraft.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 16, 1918",?,"Elizabeth, New Jersey",US Aerial Mail Service,?,?,De Havilland DH-4,97,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 25, 1919",?,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,61,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 19, 1919",?,"Dix Run, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,82,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The mail plane crashed under unknown circumstances.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 21, 1919",1655,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,?,Shuttle,FD Type Dirigible,?,?,?   (passengers:?  crew:?),3   (passengers:2  crew:1),10,"The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed"
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 02, 1919",?,"Verona, Italy",Caproni Company,?,Venice  Taliedo,Caproni Ca.48,?,?,14   (passengers:12  crew:2),14   (passengers:12  crew:2),0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 02, 1919",?,"Newcastle, England",Aircraft Transport and Travel,?,?,De Havilland DH-4,?,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,?
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 14, 1919",?,"Cantonsville, Maryland",US Aerial Mail Service,?,?,Curtiss R-4LM,32,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 20, 1919",?,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,?,?,De Havilland DH-4,G-EAHG,?,0   (passengers:0  crew:1),0   (passengers:0  crew:0),0,Crashed into the sea while attempting to land in fog.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 30, 1919",?,"Long Valley, New Jersey",US Aerial Mail Service,?,?,De Havilland DH.4,77,77,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 11, 1919",?,"Catherham, Surrey, UK",Aircraft Travel Transport,?,Paris - Hounslow,de Havilland DH-4,G-EAHF,?,1   (passengers:1  crew:1),1   (passengers:1  crew:1),0,Crashed in a field while attemptting to land.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 10, 1920",?,"New Paris, Indiana",US Aerial Mail Service,?,?,De Havilland DH-4,65,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 30, 1920",?,"Newark, New Jersey",US Aerial Mail Service,?,Washington - Newark,De Havilland DH-4,72,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 10, 1920",?,"Newark, New Jersey",US Aerial Mail Service,?,?,Curtiss R-4LM,49,?,2   (passengers:1  crew:1),1   (passengers:0  crew:1),0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 11, 1920",?,"Heller Field, New Jersey",US Aerial Mail Service,?,?,Curtiss JN-4H,44,?,2   (passengers:1  crew:1),1   (passengers:0  crew:1),0,The aircraft crashed while on approach for unknown reasons.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 12, 1920",?,"Oskaloosa, Iowa",US Aerial Mail Service,?,?,De Havilland DH-4,79,?,2   (passengers:1  crew:1),1   (passengers:1  crew:0),0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"June 06, 1920",?,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,204,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The aircraft suffered engine failure and crashed shortly after taking off.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 20, 1920",?,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,?,?,Farman F-40,?,?,1   (passengers:1  crew:1),1   (passengers:1  crew:1),0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 16, 1920",?,"Bedford, England",By Air,?,?,Armstrong-Whitworth F-K-8,G-EALW,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The plane crashed during a cargo flight under unknown circumstances.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 16, 1920",?,"College Park, Maryland",US Aerial Mail Service,?,?,De Havilland DH-4,317,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"September 01, 1920",?,"Morristown, New Jersey",US Aerial Mail Service,?,?,Junkers JL-6,305,?,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"September 15, 1920",?,"Pemberville, Ohio",US Aerial Mail Service,?,?,Junkers F-13,308,?,2   (passengers:?  crew:?),2   (passengers:?  crew:?),0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"September 27, 1920",?,"Hillersburg, Pennsylvania",US Aerial Mail Service,?,?,De Havilland DH-4,316,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 02, 1920",?,"Off Port Vendres, France",Latecoere Airlines,?,?,Salmson 2-A-2,F-ALAI,31,2   (passengers:1  crew:1),2   (passengers:1  crew:1),0,Crashed into the Mediterranean while on a mail flight.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 05, 1920",?,"Valencia, Spain",Latecoere Airlines,?,?,Breguet 14,F-ALTA,20,2   (passengers:1  crew:1),2   (passengers:1  crew:1),0,While on a mail flight the plane crashed while attempting to land.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"October 15, 1920",?,"Batavia, Illinois",US Aerial Mail Service,?,?,De Havilland DH-4,76,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,While attempting to land in fog the aircraft hit an obstruction and crashed.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"November 07, 1920",?,"Tie Siding, Wyoming",US Aerial Mail Service,?,?,De Havilland DH-4,?,178,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The aircraft crashed into a mountain in poor weather condtions.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 14, 1920",1215,"London, England",Handley Page Transport,?,London - Paris,Handley Page HP-16,G-EAMA,HP-25,8   (passengers:6  crew:2),4   (passengers:2  crew:2),0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 24, 1920",?,"Barcelona, Spain",Aeropostale,?,?,Breguet 14,F-ALBO,57,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,The aircraft stalled and crashed when an engine failed.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"February 03, 1921",?,"Mendotta, Minnisota",US Aerial Mail Service,?,?,De Havilland DH-4,130,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"February 09, 1921",?,"La Crosse, Wisconsin",US Aerial Mail Service,?,?,Junkers F-13,301,?,3   (passengers:0  crew:3),3   (passengers:0  crew:3),0,Crashed for unknown reasons. Both pilots and the mechanic were killed.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"February 15, 1921",?,Off Gibraltar,Aeropostale,?,?,Breguet 14,F-ALBA,?,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"February 22, 1921",?,"Elko, Nevada",US Aerial Mail Service,?,?,De Havilland DH-4,67,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"Shortly after taking off, the aircraft stalled and crashed ."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 06, 1921",?,"Point Cook, Australia",Military - Royal Australian Air Force,?,?,Avro 504,H3021,?,2   (passengers:0  crew:0),2   (passengers:0  crew:0),0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 21, 1921",?,"Mitchel Field, NY",US Aerial Mail Service,?,?,De Havilland DH-4,160,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,After taking off the aircraft stalled and crashed.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 29, 1921",?,"Cleveland, Ohio",US Aerial Mail Service,?,?,De Havilland DH-4,196,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"May 17, 1921",?,"Rock Springs, Wyoming",US Aerial Mail Service,?,?,"De Havilland DH-4
De Havilland DH-4",176,?,1   (passengers:0  crew:1),1   (passengers:0  crew:1),0,Crashed while attempting to land.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 14, 1921",?,"Toulouse, France",Aeropostale,?,?,Breguet 14,F-ALBI,?,2   (passengers:?  crew:?),2   (passengers:?  crew:?),0,?
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"August 24, 1921",1740,"River Humber, England",Military - Royal Airship Works,?,?,Royal Airship Works ZR-2 (airship),R-38,R-38,49   (passengers:0  crew:49),43   (passengers:0  crew:43),1,"Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design. This was a test flight before being handed over to the navy. Thirty-two British and 17 Americans were on board, and the survivors were 5 British and 1 American.  The fatalities included the designer, Charles Campbell, who had copied a captured German design intended for high-altitude flight, therefore the skeleton was a bit weaker than some.  The pilot overstressed it by attempting a turn at 62 mph at low altitude."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"September 06, 1921",?,"Paris, France",Franco-Roumaine,?,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"December 05, 1921",?,"Near Murchinson River, Australia",West Australian Airways,?,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,2   (passengers:0  crew:2),2   (passengers:0  crew:2),0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"January 14, 1922",?,"Paris, France",Handley Page Transport,?,?,Handley Page O/10,G-EATN,HP-43,5   (passengers:4  crew:1),5   (passengers:4  crew:1),5,Crashed at Le Bourget field.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"February 21, 1922",?,"Near Norfolk, Virginia",Military - U.S. Army Air Service,?,?,Dirigible Roma (airship),?,?,45   (passengers:?  crew:?),34   (passengers:?  crew:?),0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"March 22, 1922",1140,North Atlantic Ocean,Aero Limited,?,Miami - Bimini,Aeromarine Model 85 (flying boat),?,?,6   (passengers:5  crew:1),5   (passengers:5  crew:0),0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 07, 1922",1315,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,?,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,7   (passengers:5  crew:2),7   (passengers:5  crew:2),0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"April 08, 1922",?,"Pao Ting Fou, China",?,?,Test,?,?,?,17   (passengers:0  crew:17),17   (passengers:0  crew:17),0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"June 03, 1922",?,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,?,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,3   (passengers:2  crew:1),3   (passengers:2  crew:1),0,Went down into the English Channel while en route.
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 04, 1922",?,"Fuhlsbuttel, Germany",?,?,Hamburg - Berlin,LVG C VI,?,?,3   (passengers:2  crew:1),2   (passengers:1  crew:1),0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
Date:,Time:,Location:,Operator:,Flight #:,Route:,"AC
        Type:",Registration:,cn / ln:,Aboard:,Fatalities:,Ground:,Summary:
"July 16, 1922",1645,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,?,Strasbourg - Paris,Potez 29,F-FREI,25,5   (passengers:4  crew:1),5   (passengers:4  crew:1),0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
